Product Size,Weight Kgs,Thick MM,Gauges,Category,forecast_month,week_label,week_start_day,week_end_day,weekly_share,predicted_weekly_demand,predicted_monthly_demand,allocation_basis
"1¼""",22-23 Kgs,3.65 mm,9,Running,January,Week 3,15,21,0.225806,0.104,0.461,calendar_day_share
"1¼""",22-23 Kgs,3.65 mm,9,Running,January,Week 4,22,28,0.225806,0.104,0.461,calendar_day_share
"1¼""",22-23 Kgs,3.65 mm,9,Running,January,Week 5,29,31,0.096774,0.045,0.461,calendar_day_share
"1¼""",8-9 Kgs,1.2 mm,18,Running,January,Week 1,1,7,0.225806,0.007,0.029,calendar_day_share
"1¼""",8-9 Kgs,1.2 mm,18,Running,January,Week 2,8,14,0.225806,0.007,0.029,calendar_day_share
"1¼""",8-9 Kgs,1.2 mm,18,Running,January,Week 3,15,21,0.225806,0.007,0.029,calendar_day_share
"1¼""",8-9 Kgs,1.2 mm,18,Running,January,Week 4,22,28,0.225806,0.007,0.029,calendar_day_share
"1¼""",8-9 Kgs,1.2 mm,18,Running,January,Week 5,29,31,0.096774,0.003,0.029,calendar_day_share
"1½""",10-11 Kgs,1.6 mm,16,Running,January,Week 1,1,7,0.225806,56.804,251.56,calendar_day_share
"1½""",10-11 Kgs,1.6 mm,16,Running,January,Week 2,8,14,0.225806,56.804,251.56,calendar_day_share
"1½""",10-11 Kgs,1.6 mm,16,Running,January,Week 3,15,21,0.225806,56.804,251.56,calendar_day_share
"1½""",10-11 Kgs,1.6 mm,16,Running,January,Week 4,22,28,0.225806,56.804,251.56,calendar_day_share
"1½""",10-11 Kgs,1.6 mm,16,Running,January,Week 5,29,31,0.096774,24.345,251.56,calendar_day_share
"1½""",13-14 Kgs,1.8 mm,14,Running,January,Week 1,1,7,0.225806,0.056,0.249,calendar_day_share
"1½""",13-14 Kgs,1.8 mm,14,Running,January,Week 2,8,14,0.225806,0.056,0.249,calendar_day_share
"1½""",13-14 Kgs,1.8 mm,14,Running,January,Week 3,15,21,0.225806,0.056,0.249,calendar_day_share
"1½""",13-14 Kgs,1.8 mm,14,Running,January,Week 4,22,28,0.225806,0.056,0.249,calendar_day_share
"1½""",13-14 Kgs,1.8 mm,14,Running,January,Week 5,29,31,0.096774,0.024,0.249,calendar_day_share
"1½""",13-14 Kgs,2 mm,14,Running,January,Week 1,1,7,0.225806,97.263,430.738,calendar_day_share
"1½""",13-14 Kgs,2 mm,14,Running,January,Week 2,8,14,0.225806,97.263,430.738,calendar_day_share
"1½""",13-14 Kgs,2 mm,14,Running,January,Week 3,15,21,0.225806,97.263,430.738,calendar_day_share
"1½""",13-14 Kgs,2 mm,14,Running,January,Week 4,22,28,0.225806,97.263,430.738,calendar_day_share
"1½""",13-14 Kgs,2 mm,14,Running,January,Week 5,29,31,0.096774,41.684,430.738,calendar_day_share
"1½""",15-16 Kgs,2 mm,12,Running,January,Week 1,1,7,0.225806,0.552,2.444,calendar_day_share
"1½""",15-16 Kgs,2 mm,12,Running,January,Week 2,8,14,0.225806,0.552,2.444,calendar_day_share
"1½""",15-16 Kgs,2 mm,12,Running,January,Week 3,15,21,0.225806,0.552,2.444,calendar_day_share
"1½""",15-16 Kgs,2 mm,12,Running,January,Week 4,22,28,0.225806,0.552,2.444,calendar_day_share
"1½""",15-16 Kgs,2 mm,12,Running,January,Week 5,29,31,0.096774,0.236,2.444,calendar_day_share
"1½""",17-18 Kgs,2.65 mm,10,Running,January,Week 1,1,7,0.225806,0.671,2.972,calendar_day_share
"1½""",17-18 Kgs,2.65 mm,10,Running,January,Week 2,8,14,0.225806,0.671,2.972,calendar_day_share
"1½""",17-18 Kgs,2.65 mm,10,Running,January,Week 3,15,21,0.225806,0.671,2.972,calendar_day_share
"1½""",17-18 Kgs,2.65 mm,10,Running,January,Week 4,22,28,0.225806,0.671,2.972,calendar_day_share
"1½""",17-18 Kgs,2.65 mm,10,Running,January,Week 5,29,31,0.096774,0.288,2.972,calendar_day_share
"1½""",17-18 Kgs,2.65 mm,11,Running,January,Week 1,1,7,0.225806,9.943,44.033,calendar_day_share
"1½""",17-18 Kgs,2.65 mm,11,Running,January,Week 2,8,14,0.225806,9.943,44.033,calendar_day_share
"1½""",17-18 Kgs,2.65 mm,11,Running,January,Week 3,15,21,0.225806,9.943,44.033,calendar_day_share
"1½""",17-18 Kgs,2.65 mm,11,Running,January,Week 4,22,28,0.225806,9.943,44.033,calendar_day_share
