Product Size,Weight Kgs,Thick MM,Gauges,Category,forecast_month,week_label,week_start_day,week_end_day,weekly_share,predicted_weekly_demand,predicted_monthly_demand,allocation_basis
"1½""",20-21 Kgs,2.9 mm,10,Running,July,Week 3,15,21,0.225806,2.173,9.624,calendar_day_share
"1½""",20-21 Kgs,2.9 mm,10,Running,July,Week 4,22,28,0.225806,2.173,9.624,calendar_day_share
"1½""",20-21 Kgs,2.9 mm,10,Running,July,Week 5,29,31,0.096774,0.931,9.624,calendar_day_share
"1½""",23-24 Kgs,3.65 mm,9,Running,July,Week 1,1,7,0.225806,0.005,0.024,calendar_day_share
"1½""",23-24 Kgs,3.65 mm,9,Running,July,Week 2,8,14,0.225806,0.005,0.024,calendar_day_share
"1½""",23-24 Kgs,3.65 mm,9,Running,July,Week 3,15,21,0.225806,0.005,0.024,calendar_day_share
"1½""",23-24 Kgs,3.65 mm,9,Running,July,Week 4,22,28,0.225806,0.005,0.024,calendar_day_share
"1½""",23-24 Kgs,3.65 mm,9,Running,July,Week 5,29,31,0.096774,0.002,0.024,calendar_day_share
"1½""",25-26 Kgs,4 mm,8,Running,July,Week 1,1,7,0.225806,0.223,0.987,calendar_day_share
"1½""",25-26 Kgs,4 mm,8,Running,July,Week 2,8,14,0.225806,0.223,0.987,calendar_day_share
"1½""",25-26 Kgs,4 mm,8,Running,July,Week 3,15,21,0.225806,0.223,0.987,calendar_day_share
"1½""",25-26 Kgs,4 mm,8,Running,July,Week 4,22,28,0.225806,0.223,0.987,calendar_day_share
"1½""",25-26 Kgs,4 mm,8,Running,July,Week 5,29,31,0.096774,0.096,0.987,calendar_day_share
"2""",13-14 Kgs,1.6 mm,16,Running,July,Week 1,1,7,0.225806,31.035,137.442,calendar_day_share
"2""",13-14 Kgs,1.6 mm,16,Running,July,Week 2,8,14,0.225806,31.035,137.442,calendar_day_share
"2""",13-14 Kgs,1.6 mm,16,Running,July,Week 3,15,21,0.225806,31.035,137.442,calendar_day_share
"2""",13-14 Kgs,1.6 mm,16,Running,July,Week 4,22,28,0.225806,31.035,137.442,calendar_day_share
"2""",13-14 Kgs,1.6 mm,16,Running,July,Week 5,29,31,0.096774,13.301,137.442,calendar_day_share
"2""",16-17 Kgs,2.0 mm,14,Running,July,Week 1,1,7,0.225806,0.924,4.093,calendar_day_share
"2""",16-17 Kgs,2.0 mm,14,Running,July,Week 2,8,14,0.225806,0.924,4.093,calendar_day_share
"2""",16-17 Kgs,2.0 mm,14,Running,July,Week 3,15,21,0.225806,0.924,4.093,calendar_day_share
"2""",16-17 Kgs,2.0 mm,14,Running,July,Week 4,22,28,0.225806,0.924,4.093,calendar_day_share
"2""",16-17 Kgs,2.0 mm,14,Running,July,Week 5,29,31,0.096774,0.396,4.093,calendar_day_share
"2""",16-17½ Kgs,2 mm,14,Running,July,Week 1,1,7,0.225806,87.955,389.516,calendar_day_share
"2""",16-17½ Kgs,2 mm,14,Running,July,Week 2,8,14,0.225806,87.955,389.516,calendar_day_share
"2""",16-17½ Kgs,2 mm,14,Running,July,Week 3,15,21,0.225806,87.955,389.516,calendar_day_share
"2""",16-17½ Kgs,2 mm,14,Running,July,Week 4,22,28,0.225806,87.955,389.516,calendar_day_share
"2""",16-17½ Kgs,2 mm,14,Running,July,Week 5,29,31,0.096774,37.695,389.516,calendar_day_share
"2""",20-21 Kgs,2.35 mm,12,Running,July,Week 1,1,7,0.225806,55.615,246.297,calendar_day_share
"2""",20-21 Kgs,2.35 mm,12,Running,July,Week 2,8,14,0.225806,55.615,246.297,calendar_day_share
"2""",20-21 Kgs,2.35 mm,12,Running,July,Week 3,15,21,0.225806,55.615,246.297,calendar_day_share
"2""",20-21 Kgs,2.35 mm,12,Running,July,Week 4,22,28,0.225806,55.615,246.297,calendar_day_share
"2""",20-21 Kgs,2.35 mm,12,Running,July,Week 5,29,31,0.096774,23.835,246.297,calendar_day_share
"2""",25-26 Kgs,3.25 mm,10,Running,July,Week 1,1,7,0.225806,18.086,80.095,calendar_day_share
"2""",25-26 Kgs,3.25 mm,10,Running,July,Week 2,8,14,0.225806,18.086,80.095,calendar_day_share
"2""",25-26 Kgs,3.25 mm,10,Running,July,Week 3,15,21,0.225806,18.086,80.095,calendar_day_share
"2""",25-26 Kgs,3.25 mm,10,Running,July,Week 4,22,28,0.225806,18.086,80.095,calendar_day_share
"2""",25-26 Kgs,3.25 mm,10,Running,July,Week 5,29,31,0.096774,7.751,80.095,calendar_day_share
"2""",29-30 Kgs,3.65 mm,9,Running,July,Week 1,1,7,0.225806,21.322,94.426,calendar_day_share
"2""",29-30 Kgs,3.65 mm,9,Running,July,Week 2,8,14,0.225806,21.322,94.426,calendar_day_share
